# comarcas_castellon.csv - municipio (codigo INE) -> comarca
# Fuente: Portal Estadistico GVA (PEGV), "Municipios y comarcas".
# URL: https://pegv.gva.es/documents/163706934/379210449/Municipios+y+comarcas+a+1+de+enero+de+2026.xlsx/a5622ee2-bea1-643f-d4b7-a498900932ef?t=1780295046805
# Fecha de referencia: 1 de enero de 2026. Codigos INE asignados por el INE.
# Comarcalizacion: disposicion adicional unica de la Ley 2/2020, de 2 de
#   diciembre, de Informacion Geografica y del Institut Cartografic Valencia.
# Generado por make comarcas (etl/parse_comarcas.py). NO editar a mano.
ine_code,municipio,comarca
12001,Atzeneta del Maestrat,L'Alt Maestrat
12002,Aín,La Plana Baixa
12003,Albocàsser,L'Alt Maestrat
12004,Alcalà de Xivert,El Baix Maestrat
12005,"Alcora, l'",L'Alcalatén
12006,Alcudia de Veo,La Plana Baixa
12007,Alfondeguilla,La Plana Baixa
12008,Algimia de Almonacid,El Alto Palancia
12009,Almassora,La Plana Alta
12010,Almedíjar,El Alto Palancia
12011,Almenara,La Plana Baixa
12012,Altura,El Alto Palancia
12013,Arañuel,El Alto Mijares
12014,Ares del Maestrat,L'Alt Maestrat
12015,Argelita,El Alto Mijares
12016,Artana,La Plana Baixa
12017,Ayódar,El Alto Mijares
12018,Azuébar,El Alto Palancia
12020,Barracas,El Alto Palancia
12021,Betxí,La Plana Baixa
12022,Bejís,El Alto Palancia
12024,Benafer,El Alto Palancia
12025,Benafigos,L'Alt Maestrat
12026,Benassal,L'Alt Maestrat
12027,Benicarló,El Baix Maestrat
12028,Benicàssim/Benicasim,La Plana Alta
12029,Benlloc,La Plana Alta
12031,Borriol,La Plana Alta
12032,Borriana/Burriana,La Plana Baixa
12033,Cabanes,La Plana Alta
12034,Càlig,El Baix Maestrat
12036,Canet lo Roig,El Baix Maestrat
12037,Castell de Cabres,El Baix Maestrat
12038,Castellfort,Els Ports
12039,Castellnovo,El Alto Palancia
12040,Castelló de la Plana/Castelló de la Plana,La Plana Alta
12041,Castillo de Villamalefa,El Alto Mijares
12042,Catí,L'Alt Maestrat
12043,Caudiel,El Alto Palancia
12044,Cervera del Maestre,El Baix Maestrat
12045,Cinctorres,Els Ports
12046,Cirat,El Alto Mijares
12048,Cortes de Arenoso,El Alto Mijares
