nombre,fecha_inicio,fecha_fin,superficie_ha,ine_code,source
Bejís (Alt Palància),2022-08-15,2022-08-24,19113,12022,GVA - balance oficial 2022 (perímetro pendiente EFFIS)
Bejís (Alt Palància),2022-08-15,2022-08-24,19113,12071,GVA - balance oficial 2022 (perímetro pendiente EFFIS)
Bejís (Alt Palància),2022-08-15,2022-08-24,19113,12140,GVA - balance oficial 2022 (perímetro pendiente EFFIS)
Bejís (Alt Palància),2022-08-15,2022-08-24,19113,12114,GVA - balance oficial 2022 (perímetro pendiente EFFIS)
l'Alcalatén (les Useres),2022-08-15,,,12122,Semilla GUAITA (superficie sin confirmar; pendiente EFFIS)
l'Alcalatén (les Useres),2022-08-15,,,12049,Semilla GUAITA (superficie sin confirmar; pendiente EFFIS)
l'Alcalatén (les Useres),2022-08-15,,,12060,Semilla GUAITA (superficie sin confirmar; pendiente EFFIS)
l'Alcalatén (les Useres),2022-08-15,,,12072,Semilla GUAITA (superficie sin confirmar; pendiente EFFIS)
Villanueva de Viver,2023-03-23,,4676,12133,GVA - balance oficial 2023 (perímetro pendiente EFFIS)
la Vall d'Uixó,2026-07-25,,,12126,Semilla GUAITA (superficie sin confirmar; pendiente EFFIS)
